"ASSOCIATIONID","ASSOCIATION","MONTH","YEAR","CLOSEDLISTINGS","PENDINGLISTINGS","ACTIVELISTINGS","AVERAGELISTINGPRICE","MEDIANLISTINGPRICE","AVERAGECLOSINGPRICE","MEDIANCLOSINGPRICE","TOTALDOLLARSSOLD","AVERAGEDAYSONMARKET"
4355,"REALTOR® Association of Southern Kentucky",1,2023,175,363,661,376433,294900,277237,240000,48516594,103
4375,"Heart of Kentucky Association of REALTORS®",12,2022,162,201,481,325167,275000,240869,253500,39020794,75
4290,"Kentucky-Barkley Lakes Board of REALTORS®",12,2022,41,2,79,282319,221950,222307,180000,9114600,76
4355,"REALTOR® Association of Southern Kentucky",12,2022,208,338,665,366325,287500,253736,230000,52777090,77
4335,"Greater Owensboro Board of REALTORS®",11,2022,125,126,318,230981,228828,223753,200000,27969160,69
4375,"Heart of Kentucky Association of REALTORS®",11,2022,157,,,253886,229990,246982,225000,38776524,69
4290,"Kentucky-Barkley Lakes Board of REALTORS®",11,2022,37,3,83,311788,269900,248202,191500,9183500,83
4355,"REALTOR® Association of Southern Kentucky",11,2022,207,366,721,362334,290000,274027,249900,56723722,83
4245,"Eastern Kentucky Association of REALTORS®",10,2022,86,96,519,164519,,156171,135100,13430727,105
4335,"Greater Owensboro Board of REALTORS®",10,2022,141,128,289,230917,215500,226997,213000,32006570,68
4375,"Heart of Kentucky Association of REALTORS®",10,2022,244,,,271527,250000,264597,264597,64561716,65
4315,"Mayfield-Graves Board of REALTORS®",10,2022,23,5,17,216606,224900,228250,217000,5249750,64
4355,"REALTOR® Association of Southern Kentucky",10,2022,233,380,702,373355,299900,264144,255000,61545629,80
4245,"Eastern Kentucky Association of REALTORS®",9,2022,82,88,519,160821,,170278,150000,13962799,145
4335,"Greater Owensboro Board of REALTORS®",9,2022,150,154,243,228346,219990,227945,212650,34191694,52
4375,"Heart of Kentucky Association of REALTORS®",9,2022,235,,,274455,250000,267153,244900,62780974,61
4290,"Kentucky-Barkley Lakes Board of REALTORS®",9,2022,44,5,75,353380,242400,195841,179950,8617037,65
4355,"REALTOR® Association of Southern Kentucky",9,2022,306,427,664,364310,297900,268799,240000,82252516,75
4245,"Eastern Kentucky Association of REALTORS®",8,2022,86,110,522,185721,,173550,151000,14925269,145
4335,"Greater Owensboro Board of REALTORS®",8,2022,182,173,240,247449,219900,242954,215250,44217589,62
4375,"Heart of Kentucky Association of REALTORS®",8,2022,244,,,267516,249900,264143,237500,64451080,66
4290,"Kentucky-Barkley Lakes Board of REALTORS®",8,2022,40,9,82,312560,274900,194547,171750,7781899,63
4340,"Paducah Board of REALTORS®",8,2022,102,38,243,267744,199900,207039,159500,21118054,66
4355,"REALTOR® Association of Southern Kentucky",8,2022,306,485,624,361116,298400,287379,249700,86369063,69
4245,"Eastern Kentucky Association of REALTORS®",7,2022,96,99,527,171831,,165214,133000,15860520,112
4335,"Greater Owensboro Board of REALTORS®",7,2022,136,193,216,207698,229000,205414,185000,28060499,57
4375,"Heart of Kentucky Association of REALTORS®",7,2022,143,,,268966,250000,265454,247000,38581198,62
4290,"Kentucky-Barkley Lakes Board of REALTORS®",7,2022,43,6,76,243100,199000,193420,169500,8317076,56
4340,"Paducah Board of REALTORS®",7,2022,109,15,254,268764,199450,198881,172000,21678050,50
4355,"REALTOR® Association of Southern Kentucky",7,2022,298,488,607,351325,289900,281119,238200,83773510,72
4245,"Eastern Kentucky Association of REALTORS®",6,2022,82,103,491,147969,,135906,101500,11144300,131
4280,"Henderson-Audubon Board of REALTORS®",6,2022,32,11,35,194309,179200,195774,183000,6264778,16
4290,"Kentucky-Barkley Lakes Board of REALTORS®",6,2022,49,4,65,219796,174900,259632,190000,12722000,61
4320,"Murray Calloway County Board of REALTORS®",6,2022,53,25,26,566170,415760,199796,170000,10589190,52
4330,"Old Kentucky Home Board of REALTORS®",6,2022,55,42,97,355812,299500,277072,255000,15238960,78
4340,"Paducah Board of REALTORS®",6,2022,109,13,247,260635,189900,252163,213000,27485849,55
4355,"REALTOR® Association of Southern Kentucky",6,2022,301,532,524,352097,287950,277330,250000,83476587,69
4250,"Central Kentucky Association of REALTORS®",5,2022,15,,30,284299,167400,264026,290000,3960400,81
4245,"Eastern Kentucky Association of REALTORS®",5,2022,112,110,475,171140,,157106,137500,17595875,119
4300,"Greater Louisville Association of REALTORS®",5,2022,1500,,,,,299857,260000,449785947,17
4335,"Greater Owensboro Board of REALTORS®",5,2022,160,173,178,227882,179900,224007,194500,35841100,62
4375,"Heart of Kentucky Association of REALTORS®",5,2022,236,348,289,327088,265000,261681,245000,61756818,62
4280,"Henderson-Audubon Board of REALTORS®",5,2022,39,32,17,198335,154500,200593,165601,7823151,26
4290,"Kentucky-Barkley Lakes Board of REALTORS®",5,2022,57,5,101,279275,224950,248715,176000,14176800,50
4325,"Northern Kentucky Association of REALTORS®",5,2022,647,684,414,527154,447450,296883,257500,192083532,15
4330,"Old Kentucky Home Board of REALTORS®",5,2022,42,11,47,374173,289950,261918,217450,11000556,61
4340,"Paducah Board of REALTORS®",5,2022,103,23,239,266154,189900,267716,220000,27574849,49
4355,"REALTOR® Association of Southern Kentucky",5,2022,310,538,422,343649,273950,250947,231500,77793641,70
4250,"Central Kentucky Association of REALTORS®",4,2022,16,32,,,,197850,191150,3165600,84
4245,"Eastern Kentucky Association of REALTORS®",4,2022,88,124,454,166477,,164776,129000,14500275,182
4300,"Greater Louisville Association of REALTORS®",4,2022,1380,,,,,300502,255000,414692900,18
4335,"Greater Owensboro Board of REALTORS®",4,2022,199,167,163,219240,184900,216591,185000,43101667,75
4375,"Heart of Kentucky Association of REALTORS®",4,2022,233,,,,,250592,243000,58387961,64
4280,"Henderson-Audubon Board of REALTORS®",4,2022,30,35,11,179410,164950,182237,168950,5467115,34
4290,"Kentucky-Barkley Lakes Board of REALTORS®",4,2022,52,10,118,294072,225500,205911,157500,10707382,57
4325,"Northern Kentucky Association of REALTORS®",4,2022,537,669,368,552345,445000,294177,245000,157973170,20
4330,"Old Kentucky Home Board of REALTORS®",4,2022,53,30,63,356237,299900,244830,230000,13465700,81
4340,"Paducah Board of REALTORS®",4,2022,90,24,222,272666,204749,239023,168750,21512150,61
4355,"REALTOR® Association of Southern Kentucky",4,2022,303,555,371,340717,269900,280861,245000,85101001,80
4250,"Central Kentucky Association of REALTORS®",3,2022,14,,26,377526,230450,300071,197500,4201000,84
4245,"Eastern Kentucky Association of REALTORS®",3,2022,98,113,421,154707,,144662,125750,14176900,156
4300,"Greater Louisville Association of REALTORS®",3,2022,1457,,,,,281095,240000,409555574,24
4335,"Greater Owensboro Board of REALTORS®",3,2022,136,210,125,212641,184900,209169,184450,28447025,63
4375,"Heart of Kentucky Association of REALTORS®",3,2022,219,376,210,296183,239950,257106,235000,56306392,72
4280,"Henderson-Audubon Board of REALTORS®",3,2022,25,33,9,205071,189000,202612,200000,5065321,22
4290,"Kentucky-Barkley Lakes Board of REALTORS®",3,2022,57,18,104,278679,202400,221708,188200,12415650,83
4325,"Northern Kentucky Association of REALTORS®",3,2022,584,633,363,558603,425000,285630,245000,166808409,26
4330,"Old Kentucky Home Board of REALTORS®",3,2022,51,53,34,270801,224900,266368,224900,13584800,92
4340,"Paducah Board of REALTORS®",3,2022,95,27,205,268685,189900,215126,160000,20436995,70
4355,"REALTOR® Association of Southern Kentucky",3,2022,308,557,318,361091,269900,252288,219900,77637461,80
4250,"Central Kentucky Association of REALTORS®",2,2022,11,35,26,377526,230450,222936,226900,2452300,62
4245,"Eastern Kentucky Association of REALTORS®",2,2022,59,100,442,163490,,152782,100500,9014150,165
4300,"Greater Louisville Association of REALTORS®",2,2022,1084,,,,,282755,235250,306506734,33
4335,"Greater Owensboro Board of REALTORS®",2,2022,147,131,129,190615,176500,188410,174500,27696275,61
4375,"Heart of Kentucky Association of REALTORS®",2,2022,155,392,188,315402,229900,225218,212000,34908826,92
4280,"Henderson-Audubon Board of REALTORS®",2,2022,26,22,4,156792,137450,155440,137500,4041452,41
4320,"Murray Calloway County Board of REALTORS®",2,2022,28,11,25,592288,397000,185216,155000,5186050,86
4325,"Northern Kentucky Association of REALTORS®",2,2022,407,504,322,553334,417645,277921,240000,113114030,21
4330,"Old Kentucky Home Board of REALTORS®",2,2022,44,44,49,386977,299950,262862,227450,11565950,98
4340,"Paducah Board of REALTORS®",2,2022,83,22,200,266769,179450,204855,192500,17003001,75
4355,"REALTOR® Association of Southern Kentucky",2,2022,261,540,331,341915,269900,247508,222000,64599649,85
4240,"Ashland Area Board of REALTORS®",1,2022,87,12,266,218834,149900,137713,125000,11981100,88
4250,"Central Kentucky Association of REALTORS®",1,2022,14,,,169964,154700,157414,149950,2203800,98
4245,"Eastern Kentucky Association of REALTORS®",1,2022,55,94,456,135036,,122585,97000,6742150,161
4300,"Greater Louisville Association of REALTORS®",1,2022,1084,,,,,268544,225000,291101385,28
4335,"Greater Owensboro Board of REALTORS®",1,2022,147,162,141,205003,179900,201995,175000,26693223,67
4375,"Heart of Kentucky Association of REALTORS®",1,2022,178,325,220,248729,219950,244080,215000,43446240,74
4280,"Henderson-Audubon Board of REALTORS®",1,2022,24,25,2,175479,142400,173746,143500,4169912,31
4320,"Murray Calloway County Board of REALTORS®",1,2022,36,3,22,622763,399900,158419,141450,5703100,60
4325,"Northern Kentucky Association of REALTORS®",1,2022,455,496,404,523579,399900,279612,235000,127223767,25
4330,"Old Kentucky Home Board of REALTORS®",1,2022,44,53,57,219180,199900,213778,199950,9406250,70
4340,"Paducah Board of REALTORS®",1,2022,83,21,201,261323,172500,201161,17500,16696421,90
4355,"REALTOR® Association of Southern Kentucky",1,2022,247,500,398,320157,255450,247019,215000,61013840,87
4240,"Ashland Area Board of REALTORS®",12,2021,112,6,289,208532,147500,153839,137500,17230029,96
4250,"Central Kentucky Association of REALTORS®",12,2021,18,,36,215988,148500,277179,186375,9978450,93
4245,"Eastern Kentucky Association of REALTORS®",12,2021,90,62,520,160754,,150931,111850,13583828,172
4300,"Greater Louisville Association of REALTORS®",12,2021,1607,,,,,284508,240000,457204443,22
4335,"Greater Owensboro Board of REALTORS®",12,2021,172,134,154,199857,169900,195456,166500,33618515,64
4375,"Heart of Kentucky Association of REALTORS®",12,2021,241,283,243,311662,229900,242453,225000,58431343,71
4280,"Henderson-Audubon Board of REALTORS®",12,2021,31,28,4,203749,179999,197596,175000,6125499,29
4320,"Murray Calloway County Board of REALTORS®",12,2021,32,2,18,667055,422450,205868,155000,6587800,74
4325,"Northern Kentucky Association of REALTORS®",12,2021,708,461,445,500865,399000,289674,250000,205089865,21
4330,"Old Kentucky Home Board of REALTORS®",12,2021,52,12,36,271709,211900,272433,216450,14166555,83
4340,"Paducah Board of REALTORS®",12,2021,104,12,217,251677,174900,217763,153500,22647422,66
4355,"REALTOR® Association of Southern Kentucky",12,2021,310,467,432,335716,255450,256479,237000,79508735,81
4240,"Ashland Area Board of REALTORS®",11,2021,122,9,329,204796,149500,171030,148500,20865715,88
4250,"Central Kentucky Association of REALTORS®",11,2021,10,26,,,,210440,210000,2104400,52
4245,"Eastern Kentucky Association of REALTORS®",11,2021,70,106,541,149075,,141847,127450,9929267,180
4300,"Greater Louisville Association of REALTORS®",11,2021,1527,,,,,284473,241005,434390556,21
4335,"Greater Owensboro Board of REALTORS®",11,2021,173,174,170,205867,165000,202320,169900,35001294,76
4375,"Heart of Kentucky Association of REALTORS®",11,2021,246,,,,,239451,229750,58904949,74
4280,"Henderson-Audubon Board of REALTORS®",11,2021,31,24,3,195208,164900,194112,165000,6017477,25
4285,"Hopkinsville-Christian Board of REALTORS®",11,2021,45,21,45,190233,159900,182684,154900,8220800,72
4310,"Madisonville-Hopkins Board of REALTORS®",11,2021,41,29,84,199042,164900,181310,155000,7433701,76
4320,"Murray Calloway County Board of REALTORS®",11,2021,44,5,14,682285,397400,249000,195500,10956000,57
4325,"Northern Kentucky Association of REALTORS®",11,2021,631,539,489,285907,249900,282553,245000,178291522,19
4330,"Old Kentucky Home Board of REALTORS®",11,2021,56,7,30,257529,226500,251954,223950,14109427,70
4340,"Paducah Board of REALTORS®",11,2021,95,22,232,260554,165000,183425,165000,17425435,64
4355,"REALTOR® Association of Southern Kentucky",11,2021,269,552,536,332876,249900,233249,215900,62744193,71
4240,"Ashland Area Board of REALTORS®",10,2021,122,13,360,209878,149900,171611,150000,20936605,74
4250,"Central Kentucky Association of REALTORS®",10,2021,27,26,41,281719,150000,235792,183000,6366400,91
4245,"Eastern Kentucky Association of REALTORS®",10,2021,78,105,554,146862,,137012,113000,10686937,140
4300,"Greater Louisville Association of REALTORS®",10,2021,1693,,,,,288519,240000,488462498,21
4335,"Greater Owensboro Board of REALTORS®",10,2021,157,181,177,213007,189900,209230,190000,32849095,62
4375,"Heart of Kentucky Association of REALTORS®",10,2021,240,,,,,225552,215000,54132502,71
4280,"Henderson-Audubon Board of REALTORS®",10,2021,30,38,6,184219,157450,184991,161027,5549747,18
4285,"Hopkinsville-Christian Board of REALTORS®",10,2021,55,16,43,185402,172900,187045,171000,10287500,62
4310,"Madisonville-Hopkins Board of REALTORS®",10,2021,49,38,80,238594,182950,171935,126000,8424800,71
4320,"Murray Calloway County Board of REALTORS®",10,2021,49,27,51,415050,234000,226898,172000,11118500,67
4325,"Northern Kentucky Association of REALTORS®",10,2021,635,636,787,444224,339900,268380,230000,170421908,14
4330,"Old Kentucky Home Board of REALTORS®",10,2021,52,53,,256016,237450,259285,238250,13482830,30
4340,"Paducah Board of REALTORS®",10,2021,101,17,266,258793,165000,227804,185000,23008240,80
4355,"REALTOR® Association of Southern Kentucky",10,2021,277,535,552,338129,249450,256341,230000,71006724,77
4240,"Ashland Area Board of REALTORS®",9,2021,118,17,365,211290,149900,153843,140000,18153503,85
4250,"Central Kentucky Association of REALTORS®",9,2021,40,34,41,281719,150000,321813,273950,12872550,30
4245,"Eastern Kentucky Association of REALTORS®",9,2021,84,87,568,179364,,128033,108501,10754751,157
4300,"Greater Louisville Association of REALTORS®",9,2021,1740,,,,,284399,240000,494854719,17
4335,"Greater Owensboro Board of REALTORS®",9,2021,161,185,187,215906,193000,212682,198000,34241813,53
4375,"Heart of Kentucky Association of REALTORS®",9,2021,238,399,361,306477,239950,236967,227450,56398322,66
4280,"Henderson-Audubon Board of REALTORS®",9,2021,50,27,5,203241,164000,182446,172250,9122296,17
4285,"Hopkinsville-Christian Board of REALTORS®",9,2021,49,18,51,168508,149000,163639,139900,8018310,58
4310,"Madisonville-Hopkins Board of REALTORS®",9,2021,55,23,83,245387,196500,155538,144500,5910450,56
4320,"Murray Calloway County Board of REALTORS®",9,2021,55,24,46,408395,224950,245665,199900,13511595,57
4325,"Northern Kentucky Association of REALTORS®",9,2021,698,752,742,438632,325000,190537952,239872,190537952,14
4330,"Old Kentucky Home Board of REALTORS®",9,2021,59,38,71,347968,249900,241947,232000,14248350,26
4340,"Paducah Board of REALTORS®",9,2021,112,25,274,261659,166700,201903,174700,22613211,58
4355,"REALTOR® Association of Southern Kentucky",9,2021,293,562,514,330907,249900,241861,217000,70865463,77
4240,"Ashland Area Board of REALTORS®",8,2021,126,8,384,207773,149900,148900,135000,18761457,77
4250,"Central Kentucky Association of REALTORS®",8,2021,32,28,51,296762,239900,234975,205000,7519000,82
4245,"Eastern Kentucky Association of REALTORS®",8,2021,88,98,568,145650,,135285,102650,11905100,179
4300,"Greater Louisville Association of REALTORS®",8,2021,1740,,,,,273072,235000,475145704,15
4335,"Greater Owensboro Board of REALTORS®",8,2021,162,182,194,228528,187000,224043,186500,36294950,56
4375,"Heart of Kentucky Association of REALTORS®",8,2021,276,414,380,309619,250000,246320,226950,67984437,64
4280,"Henderson-Audubon Board of REALTORS®",8,2021,28,26,6,177571,164900,163278,166248,4571796,18
4285,"Hopkinsville-Christian Board of REALTORS®",8,2021,52,16,62,208554,194900,209525,200200,11150313,59
4310,"Madisonville-Hopkins Board of REALTORS®",8,2021,56,30,73,248364,189900,184610,157000,10338147,60
4320,"Murray Calloway County Board of REALTORS®",8,2021,51,32,51,374736,185000,220103,169000,11225300,64
4325,"Northern Kentucky Association of REALTORS®",8,2021,698,750,752,438632,325000,272977,239872,190537952,14
4330,"Old Kentucky Home Board of REALTORS®",8,2021,54,71,88,336609,249900,217767,199925,11759450,63
4340,"Paducah Board of REALTORS®",8,2021,114,26,279,265901,189900,194265,179450,22146213,58
4355,"REALTOR® Association of Southern Kentucky",8,2021,311,580,497,340661,259900,238384,230881,74137491,74
4275,"South Central Kentucky Association of REALTORS®",8,2021,63,131,142,262277,189900,164379,154500,10355900,83
4240,"Ashland Area Board of REALTORS®",7,2021,114,17,674,201597,125000,160344,138000,18279239,222
4250,"Central Kentucky Association of REALTORS®",7,2021,27,31,50,332998,269950,244218,225000,6593905,93
4245,"Eastern Kentucky Association of REALTORS®",7,2021,76,108,536,160570,,152363,121500,11579615,191
4300,"Greater Louisville Association of REALTORS®",7,2021,1808,,,,,289067,249900,522633840,16
4335,"Greater Owensboro Board of REALTORS®",7,2021,160,209,173,215110,179900,214315,179850,34290354,53
4375,"Heart of Kentucky Association of REALTORS®",7,2021,294,403,341,309174,250000,241447,229950,90985635,65
4280,"Henderson-Audubon Board of REALTORS®",7,2021,32,12,12,208327,149450,180810,148900,5785932,25
4285,"Hopkinsville-Christian Board of REALTORS®",7,2021,55,17,50,168269,152500,168617,155000,9273925,62
4320,"Murray Calloway County Board of REALTORS®",7,2021,57,39,47,417231,209900,209625,197000,11948661,59
4325,"Northern Kentucky Association of REALTORS®",7,2021,718,729,729,454878,341175,266317,230500,191215918,20
4330,"Old Kentucky Home Board of REALTORS®",7,2021,44,14,40,432226,297400,256456,228950,11284100,60
4340,"Paducah Board of REALTORS®",7,2021,130,31,270,267649,186250,223507,184950,29056025,77
4355,"REALTOR® Association of Southern Kentucky",7,2021,324,585,423,347060,265000,241145,211100,78131016,78
4370,"Somerset-Lake Cumberland Board of REALTORS®",7,2021,111,159,468,277934,224900,201927,189900,22413900,84
4275,"South Central Kentucky Association of REALTORS®",7,2021,62,116,110,253695,189000,189039,162500,11720414,76
4240,"Ashland Area Board of REALTORS®",6,2021,107,17,336,139700,199923,159619,129000,17079302,92
4250,"Central Kentucky Association of REALTORS®",6,2021,28,24,39,330128,275000,210469,180500,5889150,60
4245,"Eastern Kentucky Association of REALTORS®",6,2021,94,103,521,165347,,155690,134950,14634900,186
4300,"Greater Louisville Association of REALTORS®",6,2021,1892,,,,,286452,240000,541967856,16
4335,"Greater Owensboro Board of REALTORS®",6,2021,193,194,144,198544,184900,197483,174000,38114158,57
4375,"Heart of Kentucky Association of REALTORS®",6,2021,271,447,285,326488,250000,245907,227000,66640978,66
4280,"Henderson-Audubon Board of REALTORS®",6,2021,37,4,12,182003,159900,185728,169900,6871950,29
4285,"Hopkinsville-Christian Board of REALTORS®",6,2021,43,23,55,174387,155000,202408,165000,7983539,55
4290,"Kentucky-Barkley Lakes Board of REALTORS®",6,2021,61,12,144,269406,169700,238668,160000,14558749,72
4295,"Lexington Bluegrass Association of REALTORS®",6,2021,1504,1450,1591,375598,250000,265286,234500,398989817,19
4310,"Madisonville-Hopkins Board of REALTORS®",6,2021,55,30,49,223253,150000,179061,145000,9848365,64
4315,"Mayfield-Graves Board of REALTORS®",6,2021,28,2,20,233231,174750,147437,114500,4128250,64
4320,"Murray Calloway County Board of REALTORS®",6,2021,62,34,40,434577,223750,236240,185000,14646903,77
4325,"Northern Kentucky Association of REALTORS®",6,2021,720,720,874,471510,350000,281751,255000,202861070,12
4330,"Old Kentucky Home Board of REALTORS®",6,2021,52,56,55,357457,269900,238922,219250,12423950,80
4340,"Paducah Board of REALTORS®",6,2021,144,35,267,268400,174500,215559,189150,31040594,96
4355,"REALTOR® Association of Southern Kentucky",6,2021,345,588,361,346082,269000,259254,227153,89442672,82
4370,"Somerset-Lake Cumberland Board of REALTORS®",6,2021,167,152,422,269334,219000,215260,187100,35948550,80
4275,"South Central Kentucky Association of REALTORS®",6,2021,78,108,98,244685,189900,167403,162400,13057397,83
4240,"Ashland Area Board of REALTORS®",5,2021,122,11,604,191112,109900,161177,127000,16760300,148
4250,"Central Kentucky Association of REALTORS®",5,2021,18,30,41,307445,259900,173338,154250,3120100,53
4245,"Eastern Kentucky Association of REALTORS®",5,2021,75,105,523,173334,,162849,145000,12213671,138
4300,"Greater Louisville Association of REALTORS®",5,2021,1681,,,,,272979,230100,458877154,17
4335,"Greater Owensboro Board of REALTORS®",5,2021,182,194,129,210685,188000,209363,190000,38104077,55
4375,"Heart of Kentucky Association of REALTORS®",5,2021,261,467,206,348157,247000,232870,220000,60779221,72
4280,"Henderson-Audubon Board of REALTORS®",5,2021,44,1,2,169177,149900,167697,152500,7378702,16
4285,"Hopkinsville-Christian Board of REALTORS®",5,2021,46,22,98,175030,149900,173555,155000,7983539,83
4290,"Kentucky-Barkley Lakes Board of REALTORS®",5,2021,40,13,129,261436,165900,174032,138400,6961297,95
4295,"Lexington Bluegrass Association of REALTORS®",5,2021,1300,1515,1468,271524,238000,267358,227750,347565928,26
4310,"Madisonville-Hopkins Board of REALTORS®",5,2021,69,34,38,200453,166950,175213,141900,12089699,92
4320,"Murray Calloway County Board of REALTORS®",5,2021,58,27,43,458676,299000,277531,180500,16096850,63
4325,"Northern Kentucky Association of REALTORS®",5,2021,686,716,530,471005,349950,264784,230000,181642583,17
4330,"Old Kentucky Home Board of REALTORS®",5,2021,56,37,32,399535,254250,241329,227250,13514450,97
4340,"Paducah Board of REALTORS®",5,2021,105,45,252,256183,187700,233979,170000,24567795,82
4355,"REALTOR® Association of Southern Kentucky",5,2021,328,617,314,346985,249900,227582,199400,74647006,85
4370,"Somerset-Lake Cumberland Board of REALTORS®",5,2021,134,154,393,260576,209900,216212,180000,28972450,93
4275,"South Central Kentucky Association of REALTORS®",5,2021,74,126,92,242076,179900,170926,147000,12648550,95
4240,"Ashland Area Board of REALTORS®",4,2021,93,13,304,193032,134700,144770,134500,14058100,110
4250,"Central Kentucky Association of REALTORS®",4,2021,19,33,51,269452,219,165147,149500,3137800,81
4245,"Eastern Kentucky Association of REALTORS®",4,2021,81,105,530,140231,,130798,105000,10594644,223
4300,"Greater Louisville Association of REALTORS®",4,2021,1584,,,,,257630,223500,408085631,22
4335,"Greater Owensboro Board of REALTORS®",4,2021,172,176,143,195895,164900,190522,165000,32769702,68
4375,"Heart of Kentucky Association of REALTORS®",4,2021,259,455,204,335471,249450,219111,199900,56749910,79
4280,"Henderson-Audubon Board of REALTORS®",4,2021,9,20,2,190883,179900,153339,134000,1380053,23
4285,"Hopkinsville-Christian Board of REALTORS®",4,2021,42,27,114,197610,180000,191539,177500,8044644,90
4290,"Kentucky-Barkley Lakes Board of REALTORS®",4,2021,59,20,132,279893,187000,199430,171000,11766400,89
4295,"Lexington Bluegrass Association of REALTORS®",4,2021,1216,1516,1474,396762,275000,245608,218000,298659171,27
4310,"Madisonville-Hopkins Board of REALTORS®",4,2021,57,38,36,183400,126950,159767,130000,9106700,120
4315,"Mayfield-Graves Board of REALTORS®",4,2021,26,2,17,129294,109000,178933,139900,4652270,95
4320,"Murray Calloway County Board of REALTORS®",4,2021,47,31,37,498875,360000,239944,179000,11277400,99
4325,"Northern Kentucky Association of REALTORS®",4,2021,581,721,428,497322,373123,257603,226500,149495355,20
4330,"Old Kentucky Home Board of REALTORS®",4,2021,61,51,26,494769,292500,212096,193000,12937905,96
4340,"Paducah Board of REALTORS®",4,2021,96,32,224,256979,184950,204252,173950,19608255,71
4345,"Pennyrile Board of REALTORS®",4,2021,54,39,169,233013,165000,232971,187450,12580450,91
4355,"REALTOR® Association of Southern Kentucky",4,2021,315,601,320,329184,247450,225775,203900,71119320,100
4370,"Somerset-Lake Cumberland Board of REALTORS®",4,2021,150,142,361,266087,209900,212577,190000,31886550,95
4275,"South Central Kentucky Association of REALTORS®",4,2021,89,134,90,230653,159900,160042,140000,14243751,97
4240,"Ashland Area Board of REALTORS®",3,2021,99,11,296,164960,124450,142287,128500,14086500,129
4250,"Central Kentucky Association of REALTORS®",3,2021,31,31,43,245911,220000,161411,120000,5003750,74
4245,"Eastern Kentucky Association of REALTORS®",3,2021,71,103,531,134340,,125284,110000,8895165,204
4300,"Greater Louisville Association of REALTORS®",3,2021,1504,,,,,254166,215000,382266177,31
4335,"Greater Owensboro Board of REALTORS®",3,2021,152,239,137,193189,179900,189237,165000,28764032,63
4375,"Heart of Kentucky Association of REALTORS®",3,2021,264,457,221,312274,220000,227312,199450,60010622,89
4280,"Henderson-Audubon Board of REALTORS®",3,2021,14,17,10,187307,162900,136152,147000,1906132,25
4285,"Hopkinsville-Christian Board of REALTORS®",3,2021,55,23,92,183002,162750,181566,145000,9986134,119
4290,"Kentucky-Barkley Lakes Board of REALTORS®",3,2021,41,21,117,284707,184900,177756,127900,7287997,103
4295,"Lexington Bluegrass Association of REALTORS®",3,2021,1161,1357,1177,428197,295083,253490,251000,294302100,36
4310,"Madisonville-Hopkins Board of REALTORS®",3,2021,58,41,44,215923,128400,172587,144700,10010051,119
4315,"Mayfield-Graves Board of REALTORS®",3,2021,14,2,9,205511,139900,143578,138950,2002350,108
4320,"Murray Calloway County Board of REALTORS®",3,2021,40,28,36,464533,319000,232908,192000,9316350,96
4325,"Northern Kentucky Association of REALTORS®",3,2021,649,669,418,468873,358277,245568,211000,152007138,29
4330,"Old Kentucky Home Board of REALTORS®",3,2021,48,58,36,317147,241950,214893,211250,10314901,98
4340,"Paducah Board of REALTORS®",3,2021,107,23,236,259293,185000,198556,183200,21245550,92
4345,"Pennyrile Board of REALTORS®",3,2021,39,33,157,253362,179000,190402,160000,7425700,106
4355,"REALTOR® Association of Southern Kentucky",3,2021,286,592,368,295971,229900,217329,191000,62156143,101
4370,"Somerset-Lake Cumberland Board of REALTORS®",3,2021,122,177,399,256604,194900,180204,162500,21984922,117
4275,"South Central Kentucky Association of REALTORS®",3,2021,71,142,88,246594,189000,169644,14500,12044705,105
4240,"Ashland Area Board of REALTORS®",2,2021,60,8,303,168154,129500,125623,129000,7537496,146
4250,"Central Kentucky Association of REALTORS®",2,2021,13,42,50,222691,199500,233184,192000,3031400,42
4245,"Eastern Kentucky Association of REALTORS®",2,2021,50,73,532,146707,,157019,99950,7850956,187
4300,"Greater Louisville Association of REALTORS®",2,2021,1154,,,,,244537,208550,282195147,30
4335,"Greater Owensboro Board of REALTORS®",2,2021,114,135,138,191950,179900,188529,165000,21492284,69
4375,"Heart of Kentucky Association of REALTORS®",2,2021,178,428,255,285784,199900,224792,188750,40013102,89
4280,"Henderson-Audubon Board of REALTORS®",2,2021,14,14,0,140355,127350,126326,99500,1768577,31
4285,"Hopkinsville-Christian Board of REALTORS®",2,2021,25,11,114,164844,171755,164316,154900,4107900,98
4290,"Kentucky-Barkley Lakes Board of REALTORS®",2,2021,42,18,96,266625,184900,211716,166000,8892100,125
4295,"Lexington Bluegrass Association of REALTORS®",2,2021,901,987,1286,403574,279900,236879,204000,213427556,35
4310,"Madisonville-Hopkins Board of REALTORS®",2,2021,38,36,74,194409,124900,130025,99750,4940957,104
4315,"Mayfield-Graves Board of REALTORS®",2,2021,19,1,5,148980,149000,105821,102000,2010600,127
4320,"Murray Calloway County Board of REALTORS®",2,2021,28,15,41,489348,222200,168092,141000,4706600,99
4325,"Northern Kentucky Association of REALTORS®",2,2021,513,533,447,436848,329900,236566,210000,121353541,30
4330,"Old Kentucky Home Board of REALTORS®",2,2021,46,39,31,300816,259000,206575,199500,9502450,85
4340,"Paducah Board of REALTORS®",2,2021,61,25,238,256259,191700,166445,145500,10153200,89
4345,"Pennyrile Board of REALTORS®",2,2021,31,18,96,240730,184950,209241,155900,6486500,134
